turn_id,pause_index,p_eot
hi__049,0,0.7250
hi__050,0,0.5572
hi__051,0,0.5136
hi__051,1,0.4666
hi__051,2,0.2781
hi__052,0,0.5001
hi__053,0,0.2693
hi__053,1,0.3584
hi__053,2,0.5245
hi__054,0,0.4301
hi__054,1,0.7812
hi__055,0,0.2260
hi__055,1,0.5871
hi__056,0,0.5332
hi__057,0,0.2334
hi__057,1,0.7837
hi__058,0,0.5195
hi__058,1,0.6126
hi__059,0,0.4215
hi__059,1,0.1602
hi__059,2,0.6518
hi__060,0,0.9187
hi__060,1,0.4416
hi__061,0,0.3681
hi__061,1,0.4680
hi__062,0,0.5389
hi__063,0,0.2615
hi__063,1,0.3758
hi__063,2,0.3696
hi__063,3,0.6959
hi__064,0,0.4449
hi__064,1,0.4899
hi__064,2,0.3439
hi__064,3,0.8200
hi__064,4,0.5118
hi__065,0,0.6126
hi__066,0,0.4065
hi__066,1,0.5450
hi__066,2,0.6965
hi__067,0,0.6176
hi__068,0,0.8661
hi__069,0,0.0974
hi__069,1,0.3652
hi__069,2,0.1695
hi__069,3,0.4836
hi__069,4,0.2405
hi__069,5,0.4388
hi__070,0,0.3618
hi__070,1,0.7761
hi__071,0,0.5446
hi__071,1,0.5114
hi__071,2,0.3858
hi__072,0,0.3715
hi__072,1,0.6812
hi__073,0,0.4447
hi__073,1,0.5156
hi__073,2,0.5142
hi__073,3,0.5345
hi__073,4,0.2628
hi__073,5,0.6896
hi__074,0,0.5705
hi__074,1,0.4968
hi__075,0,0.4223
hi__075,1,0.9608
hi__076,0,0.9070
hi__077,0,0.4789
hi__077,1,0.4471
hi__077,2,0.6432
hi__078,0,0.4666
hi__078,1,0.4311
hi__078,2,0.8214
hi__078,3,0.3556
hi__079,0,0.3229
hi__079,1,0.4072
hi__079,2,0.7656
hi__080,0,0.3996
hi__080,1,0.6315
hi__081,0,0.4988
hi__081,1,0.4994
hi__081,2,0.5613
hi__082,0,0.5272
hi__083,0,0.5688
hi__084,0,0.9016
hi__085,0,0.4546
hi__085,1,0.5465
hi__085,2,0.5661
hi__086,0,0.4253
hi__086,1,0.4170
hi__087,0,0.6179
hi__087,1,0.4787
hi__087,2,0.6486
hi__088,0,0.3910
hi__088,1,0.4710
hi__088,2,0.5125
hi__089,0,0.5182
hi__089,1,0.3647
hi__089,2,0.5235
hi__090,0,0.3651
hi__090,1,0.4486
hi__090,2,0.5495
hi__090,3,0.2355
hi__091,0,0.7359
hi__092,0,0.5045
hi__093,0,0.6085
hi__094,0,0.4565
hi__094,1,0.2823
hi__094,2,0.5689
hi__094,3,0.5205
hi__094,4,0.3340
hi__094,5,0.5332
hi__095,0,0.5219
hi__095,1,0.7199
hi__096,0,0.2824
hi__096,1,0.4975
hi__096,2,0.4709
hi__096,3,0.3808
hi__097,0,0.5335
hi__097,1,0.6262
hi__097,2,0.2873
hi__097,3,0.5031
hi__097,4,0.4074
hi__097,5,0.3358
hi__098,0,0.5556
hi__099,0,0.6863
hi__099,1,0.7405
