turn_id,pause_index,p_eot
hi__073,0,0.0497
hi__073,1,0.8377
hi__073,2,0.1324
hi__073,3,0.5945
hi__073,4,0.4611
hi__073,5,0.8230
hi__074,0,0.4794
hi__074,1,0.6572
hi__075,0,0.5660
hi__075,1,0.9950
hi__076,0,0.9357
hi__077,0,0.2460
hi__077,1,0.1330
hi__077,2,0.5981
hi__078,0,0.4845
hi__078,1,0.2751
hi__078,2,0.8294
hi__078,3,0.3662
hi__079,0,0.2034
hi__079,1,0.1734
hi__079,2,0.8002
hi__080,0,0.2975
hi__080,1,0.8547
hi__081,0,0.1503
hi__081,1,0.1244
hi__081,2,0.7010
hi__082,0,0.8859
hi__083,0,0.9303
hi__084,0,0.8852
hi__085,0,0.4451
hi__085,1,0.7751
hi__085,2,0.7575
hi__086,0,0.3905
hi__086,1,0.2931
hi__087,0,0.2897
hi__087,1,0.4588
hi__087,2,0.6015
hi__088,0,0.2528
hi__088,1,0.2087
hi__088,2,0.2734
hi__089,0,0.6347
hi__089,1,0.5146
hi__089,2,0.7718
hi__090,0,0.2959
hi__090,1,0.3716
hi__090,2,0.5445
hi__090,3,0.2306
hi__091,0,0.8621
hi__092,0,0.3475
hi__093,0,0.6382
hi__094,0,0.2685
hi__094,1,0.1487
hi__094,2,0.3298
hi__094,3,0.2411
hi__094,4,0.1465
hi__094,5,0.4040
hi__095,0,0.7190
hi__095,1,0.8943
hi__096,0,0.4492
hi__096,1,0.3931
hi__096,2,0.1562
hi__096,3,0.3153
hi__097,0,0.3680
hi__097,1,0.6604
hi__097,2,0.2562
hi__097,3,0.2862
hi__097,4,0.4039
hi__097,5,0.5432
hi__098,0,0.6407
hi__099,0,0.6794
hi__099,1,0.7298
